id,url,last_modified,date,updated_by,responsible
composicao,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/conselho/composicao,Atualizada em 24/Jul/2023 13:53 por Pedro de Vequi França - Responsável: Isabela Rita Hernendes Peres,24/Jul/2023,Pedro de Vequi França,Isabela Rita Hernendes Peres
atas,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/conselho/atas,Not Found,Not Found,Not Found,Not Found
normas,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/normas,Atualizada em 03/Out/2025 14:32 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,03/Out/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
regulamento-pgee,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/normas/regulamento-pgee,Atualizada em 24/Set/2025 10:45 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,24/Set/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
instrucoes-normativas,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/normas/instrucoes-normativas,Atualizada em 14/Jan/2021 11:22 por Lilian - Responsável: Isabela Rita Hernendes Peres,14/Jan/2021,Lilian,Isabela Rita Hernendes Peres
pgee,https://www.sorocaba.unesp.br/#!/pgee,Atualizada em 24/Set/2025 10:45 por Renan Roberto Rubim - Responsável: Isabela Rita Hernendes Peres,24/Set/2025,Renan Roberto Rubim,Isabela Rita Hernendes Peres
contato,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/contato,Atualizada em 16/Out/2025 15:49 por Isabela Rita Hernendes Peres - Responsável: Isabela Rita Hernendes Peres,16/Out/2025,Isabela Rita Hernendes Peres,Isabela Rita Hernendes Peres
estrutura-curricular,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/estrutura-curricular,Atualizada em 16/Out/2025 15:47 por Isabela Rita Hernendes Peres - Responsável: Isabela Rita Hernendes Peres,16/Out/2025,Isabela Rita Hernendes Peres,Isabela Rita Hernendes Peres
grade-curricular,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/estrutura-curricular/grade-curricular,Not Found,Not Found,Not Found,Not Found
horario,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/estrutura-curricular/horario,Atualizada em 30/Jun/2025 10:12 por Lilian - Responsável: Isabela Rita Hernendes Peres,30/Jun/2025,Lilian,Isabela Rita Hernendes Peres
linhas-de-pesquisa-e-producao,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/linhas-de-pesquisa-e-producao,Atualizada em 30/Jun/2025 09:17 por Lilian - Responsável: Isabela Rita Hernendes Peres,30/Jun/2025,Lilian,Isabela Rita Hernendes Peres
area-de-concentracao,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/linhas-de-pesquisa-e-producao/area-de-concentracao,Atualizada em 30/Jun/2025 09:17 por Lilian - Responsável: Isabela Rita Hernendes Peres,30/Jun/2025,Lilian,Isabela Rita Hernendes Peres
linhas-de-pesquisa,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/linhas-de-pesquisa-e-producao/linhas-de-pesquisa,Atualizada em 24/Jul/2023 14:05 por Pedro de Vequi França - Responsável: Isabela Rita Hernendes Peres,24/Jul/2023,Pedro de Vequi França,Isabela Rita Hernendes Peres
portal-do-docente,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-docente,Atualizada em 24/Jul/2023 14:07 por Pedro de Vequi França - Responsável: Isabela Rita Hernendes Peres,24/Jul/2023,Pedro de Vequi França,Isabela Rita Hernendes Peres
formularios,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local/portal-do-docente/formularios,Atualizada em 24/Jul/2023 14:07 por Pedro de Vequi França - Responsável: Isabela Rita Hernendes Peres,24/Jul/2023,Pedro de Vequi França,Isabela Rita Hernendes Peres
